date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2023-12-23,2326.53,2332.23,2267.35,2309.54,2343.73,5.0,-1.4587857816386722,2115.85,1.0,9.154240612519795,2447.35,-5.630988620344453,2174.17,6.226284053224903
2023-12-24,2309.54,2326.83,2245.12,2265.42,2343.73,4.0,-3.3412551787108558,2115.85,0.0,7.069026632322715,2447.35,-7.43375487772488,2174.17,4.197003914137349
2023-12-25,2265.42,2304.59,2254.36,2271.75,2343.73,3.0,-3.071172874008526,2135.19,0.0,6.395683756480686,2447.35,-7.1751077696283705,2174.17,4.48814950072901
2023-12-26,2271.75,2275.06,2174.17,2230.94,2343.73,2.0,-4.812414399269539,2157.77,0.0,3.3910008944419507,2447.35,-8.842625697182662,2212.66,0.8261549447271701
2023-12-27,2230.94,2393.37,2212.66,2380.34,2393.37,6.0,-0.5444206286533109,2174.17,5.0,9.482699144961067,2447.35,-2.7380636198336883,2256.07,5.508251073769873
2023-12-28,2380.34,2447.35,2337.42,2345.44,2447.35,6.0,-4.164095858786028,2174.17,4.0,7.877488880814287,2432.62,-3.583790316613357,2256.07,3.961313257124109
2023-12-29,2345.44,2386.68,2256.07,2299.64,2447.35,5.0,-6.035507794144689,2174.17,3.0,5.770937875143148,2432.62,-5.466534025042959,2092.33,9.908092891656668
2023-12-30,2299.64,2322.76,2268.2,2291.65,2447.35,4.0,-6.361983369767292,2174.17,2.0,5.403441313236776,2432.62,-5.794986475487327,2092.33,9.526221963074667
2023-12-31,2291.65,2319.95,2259.29,2281.36,2447.35,3.0,-6.782438147383896,2174.17,1.0,4.9301572554124125,2432.62,-6.217987190765503,2092.33,9.03442573590209
2024-01-01,2281.36,2352.66,2265.26,2352.65,2447.35,2.0,-3.8694914907961597,2174.17,0.0,8.209109683235443,2432.62,-3.2874020603300065,2092.33,12.441632056128823
2024-01-02,2352.65,2432.62,2343.68,2356.28,2447.35,1.0,-3.72116779373607,2212.66,0.0,6.490830041669319,2385.27,-1.2153760370943238,2092.33,12.61512285346959
2024-01-03,2356.28,2385.27,2092.33,2210.57,2447.35,0.0,-9.67495454266859,2092.33,6.0,5.651116219716787,2360.37,-6.34646263085871,2168.41,1.9442817548342015
2024-01-04,2210.57,2296.81,2203.62,2269.47,2432.62,4.0,-6.706760612015033,2092.33,5.0,8.466159735796928,2373.21,-4.371294575701276,2168.41,4.660557735852535
2024-01-05,2269.47,2277.99,2208.01,2270.21,2432.62,3.0,-6.676340735503279,2092.33,4.0,8.501527005778254,2643.46,-14.119752143024671,2168.41,4.694684123389958
2024-01-06,2270.21,2271.59,2218.09,2241.73,2432.62,2.0,-7.847094901793124,2092.33,3.0,7.140365047578541,2690.17,-16.669578502473822,2168.41,3.3812793705987416
2024-01-07,2241.73,2258.2,2207.13,2222.73,2432.62,1.0,-8.628145785202781,2092.33,2.0,6.232286494004296,2717.2,-18.19777712350949,2168.41,2.5050613122057253
2024-01-08,2222.73,2360.37,2168.41,2332.66,2432.62,0.0,-4.109149805559439,2092.33,1.0,11.486237830552538,2717.2,-14.152068305608715,2231.3,4.542643302110862
2024-01-09,2332.66,2373.21,2231.3,2344.97,2385.27,0.0,-1.6895361950638788,2092.33,0.0,12.074577146052482,2717.2,-13.699028411600178,2341.51,0.14776789336793697
2024-01-10,2344.97,2643.46,2341.51,2584.69,2643.46,6.0,-2.223222594629765,2168.41,4.0,19.19747649199184,2717.2,-4.876711320476954,2455.87,5.245391653467006
